Category,Sub-category,Item Description,Unit,Rate,Remarks / Conditions
General Rates,Minimum Fees,Semenanjung Malaysia,RM/party-day,1750,Minimum fees
General Rates,Minimum Fees,Sabah Sarawak and Labuan,RM/party-day,2275,Minimum fees
,,,,,
Mode of Payment,Payment Schedule,Upon mobilization,%,30,
Mode of Payment,Payment Schedule,Upon completion of field survey,%,40,
Mode of Payment,Payment Schedule,Upon submission of final survey plans and calculations,%,30,
,,,,,
TABLE I - GENERAL ENGINEERING SURVEY,SITE SURVEY,Preparatory work,party-day,1,
TABLE I - GENERAL ENGINEERING SURVEY,SITE SURVEY,Mobilization and demobilization,party-day,2,Includes hire of vehicles/aircraft if necessary
TABLE I - GENERAL ENGINEERING SURVEY,SITE SURVEY,Planimetric control,RM/metre,7,Accuracy not less than 1 in 8000
TABLE I - GENERAL ENGINEERING SURVEY,SITE SURVEY,Missing boundary marks,RM/mark,400,
TABLE I - GENERAL ENGINEERING SURVEY,SITE SURVEY,Height control - Ordinary,km/party-day,1.3,Accuracy + 0.012 sqrt(k)
TABLE I - GENERAL ENGINEERING SURVEY,SITE SURVEY,Height control - Precise,km/party-day,0.4,Accuracy + 0.003 sqrt(k)
TABLE I - GENERAL ENGINEERING SURVEY,SITE SURVEY,Contour and detail (1m interval),ha/party-day,1,Not applicable for hilly terrain
TABLE I - GENERAL ENGINEERING SURVEY,SITE SURVEY,Contour and detail (2m interval),ha/party-day,1,
TABLE I - GENERAL ENGINEERING SURVEY,SITE SURVEY,Contour and detail (3m interval),ha/party-day,1.5,
TABLE I - GENERAL ENGINEERING SURVEY,SITE SURVEY,Grid heighting (10m interval with detail),party-day/km,5.5,
TABLE I - GENERAL ENGINEERING SURVEY,SITE SURVEY,Grid heighting (20m interval with detail),party-day/km,2.75,
TABLE I - GENERAL ENGINEERING SURVEY,SITE SURVEY,Grid heighting (10m interval without detail),party-day/km,2.75,
TABLE I - GENERAL ENGINEERING SURVEY,SITE SURVEY,Grid heighting (20m interval without detail),party-day/km,1.4,
TABLE I - GENERAL ENGINEERING SURVEY,SITE SURVEY,Minimum fee,party-days,3,Inclusive of preparatory works
TABLE I - GENERAL ENGINEERING SURVEY,SITE SURVEY,Transformation of coordinates,RM/point,50,Minimum charge of RM 1000.00 per job
TABLE I - GENERAL ENGINEERING SURVEY,SITE SURVEY,Data processing,%,20,Percentage of relevant charges. Additional 10% for GIS or BIM.
TABLE I - GENERAL ENGINEERING SURVEY,SITE SURVEY,Professional consultation,%,10,Percentage of relevant charges
TABLE I - GENERAL ENGINEERING SURVEY,SITE SURVEY,Restricted or risk areas (Security pass or permit),%,25,Additional percentage of relevant charges
TABLE I - GENERAL ENGINEERING SURVEY,SITE SURVEY,Restricted or risk areas (Armed escort),%,50,Additional percentage of relevant charges
