Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
ANGGARAN KOS PERKHIDMATAN PERUNDING (UKUR TANAH),,,,,,,,,,
,,,,,,,,,,
STAGE 1,,,,,PENINSULAR MALAYSIA,,SABAH/SARAWAK,,DESCRIPTION,
ITEM,DESCRIPTION OF WORKS,REFERENCE,QTY,UNIT,RATE,AMOUNT,RATE,AMOUNT,,
NO.,,TREASURY RATE,,,(RM),(RM),(RM),(RM),,
1,SITE SURVEY,,,,,,,,,
,PREPARATORY WORK,2.2,,PD,743,0,966,0,"- Persediaan masuk ke tapak (bilangan team, resouces, peralatan, method / kaedah kerja dll yang berkaitan)",
,MOBILIZATION & DEMOBILIZATION,2.3,,,,,,,"- Jarak pejabat Juruukur ke tapak
- Telah mengambilkira kos peralatan, kenderaan dan tenaga kerja
- Pertambahan PD bagi jarak yang sama tetapi bergantung kepada kompleksiti kerja, keluasan corridor, dan tempoh masa kerja yang singkat 
- Contoh : Lokasi 200km dari pejabat Juruukur, melibatkan kerja ukur di dalam hutan simpan, sepanjang 10km dalam tempoh 1 bulan perlukan 2 team atau lebih. Kiraan = 2 team * 2 PD = 4 PD",
,a. More than 50km but not exceeding 150km,1.3,,PD,743,0,966,0,,
,b. More than 150km but not exceeding 300km,1.3,,PD,1486,0,1932,0,,
,c. Exceeding 300km,1.3,,PD,2229,0,2898,0,,
,"DEMARCATION OF BOUNDRIES, PLANIMETRIC CONTROL AND CONNECTION",2.4,,,,,,,"- Di dalam TOR JKR - Closed Method digunakan
- Contoh projek: 10km 
- Jumlah km = 10km + 1km (sblm TBM / Control Point ) + 1km (selepas TBM / Control Point ) = 12km
- Jika tiada item GPS, item Planemetric Control dikira sebagai Close Loop (Pergi dan balik) 
- Oleh itu, jumlah km perlu didarab 2. Kiraan = 12km * 2 = 24km
- Kesimpulannya, close loop tidak diperlukan sekiranya keperluan GPS telah diambilkira",Close loop tak payah di laksanakan jika Traverse dpt close ke mana2 batu sempadan dengan syarat  kodinet batu sempadan / GPS GCP yg di close itu masuk menepati tikian lurus 1: 4000 or better
,a. Flat & undulating area,1.5.1,,km,2000,0,2600,0,"- RM2.00@RM2.60/m x 1000m (peninsular) 
",
,b. Hilly area/ Swampy area/ Built up area,1.5.1,,km,2500,0,3250,0,"- RM2.50@RM3.25/m x 1000m (peninsular) 
",
,HEIGHT CONTROL AND CONNECTIONS,2.5,,,,,,,,
,a. Flat & undulating area (ordinary),1.6.2,,km,464.375,0,603.75,0,"- RM743.00@RM966.00/1.6km
- Jumlah jarak sama dengan item 2.4",
,b. Hilly area/ Swampy area/ Built up area (ordinary),1.6.2,,km,743,0,966,0,- RM743.00@RM966.00/1km,
,MONUMENTING (pipe in concrete),2.6,,,,,,,,
,i. Accessible,1.7.1; 1.7.2,,nos,185.75,0,241.5,0,"RM743.00@RM966.00/4 (4 marks/PD)
- Nos i + ii perlu sama dengan nos item 4c
- Tapak yang boleh diakses dengan kenderaan",
,ii. Inaccessible,1.7.1; 1.7.2,,nos,371.5,0,483,0,"- RM743/2 (2 marks/PD)
- Tapak yang tidak boleh diakses dengan kenderaan
- Nos i + ii perlu sama dengan nos item 4c",
,SURVEY IN SECURITY AREA,2.7,,,,,,,"- % kadar harga adalah berbeza mengikut kesusahan / kerumitan / kesukaran akses seperti port, military, airport, berserta keperluan Permit dikawasan Rezab Hutan termasuk keselamatan binatang buas, jika penduduk kampung tidak membenarkan jurukur masuk
- Oleh itu, memerlukan kawalan keselamatan (armed escort)
- Kebenaran masa bekerja yang terhad",
,i. Security pass or permit has to be obtained,1.8.1,,PD,928.75,0,1207.5,0,- RM743.00@RM966.00 x 1.25 (caj tambahan 25% dibenarkan),
,ii. Armed escort is required and working hours are dictated by relevant authority,1.8.2,,PD,1114.5,0,1449,0,- RM743.00@RM966.00 x 1.50 (caj tambahan 50% dibenarkan),
,iii. When there is a waiting time after mobilization,1.8.3,,PD,900,0,900,0,#NAME?,
,SURVEY IN INACCESSIBLE AREAS,2.8,,,,,,,,
,a) More than 2 kilometres,1.9,,PD,891.6,0,1159.2,0,- RM743.00@RM966.00 x 1.20 (caj tambahan 20% dibenarkan),
,TOPOGRAPHICAL SURVEY,2.1,,,,,,,"- Junction Detail Survey
- Contoh simpang tiga, keluasan = 1km * 2km = 2km2 = 200 ha",
